Post Date,Post Id,Post Url,Price,Location,Post title
2022-07-01 12:40,7494990541,https://sfbay.craigslist.org/sfc/sys/d/san-francisco-gaming-dell-optiplex-9020/7494990541.html,$400, (excelsior / outer mission),"Gaming Dell Optiplex 9020 MT, i7 4790, 32GB RAM, 500GB SSD, GTX1650"
2022-07-01 12:40,7494990447,https://sfbay.craigslist.org/sfc/sys/d/san-francisco-apple-mac-pro-x333ghz/7494990447.html,$350, (excelsior / outer mission),"Apple Mac Pro 5,1 - 2x3.33GHz, 56GB RAM, NVMe SSD"
2022-07-01 12:22,7503618014,https://sfbay.craigslist.org/sfc/sys/d/san-francisco-samsung-23-led-computer/7503618014.html,$20, (San Francisco),Samsung 23” LED Computer Monitor
2022-07-01 12:21,7503617950,https://sfbay.craigslist.org/sfc/sys/d/san-francisco-apple-airport-extreme/7503617950.html,$20, (San Francisco),Apple Airport Extreme Router A1521
2022-07-01 12:03,7503608773,https://sfbay.craigslist.org/sfc/sys/d/san-francisco-2017-macbook-pro-13in/7503608773.html,$400, (lower nob hill),2017 MacBook Pro 13in (Space Grey)
2022-07-01 11:51,7499419740,https://sfbay.craigslist.org/sfc/sys/d/san-francisco-cisco-sg350xg-2f10-10gbe/7499419740.html,"$1,250", (alamo square / nopa),"Cisco SG350XG-2F10 10GbE Network Switch - 10 x 10GbE, 2 x SFP+"
2022-07-01 11:37,7493527870,https://sfbay.craigslist.org/sfc/sys/d/san-francisco-new-samsung-book-pro/7493527870.html,$900, (inner sunset / UCSF),"NEW Samsung Book Pro 360, 13.3"" Intel i7 512GB 16GB AMOLED Touchscreen"
2022-07-01 11:05,7503578831,https://sfbay.craigslist.org/sfc/sys/d/san-francisco-macbook-pro-15-inch-ghz/7503578831.html,$700, (inner sunset / UCSF),"MacBook Pro, 15 inch 2016, 2.7 GHz, 16GB RAM, 500GB SD, Touch Bar"
2022-07-01 11:01,7503576893,https://sfbay.craigslist.org/sfc/sys/d/san-francisco-apple-imac-desktop-loaded/7503576893.html,$695, (inner sunset / UCSF),"Apple iMac desktop 27"" 2015 LOADED w/ Magic Keyboard + Mouse"
2022-07-01 10:25,7499088389,https://sfbay.craigslist.org/sfc/sys/d/legacy-computers-pdas-and-phones/7499088389.html,$0, (sf),"Legacy computers, PDAs and phones"
2022-07-01 10:17,7492338862,https://sfbay.craigslist.org/sfc/sys/d/san-francisco-asus-i7-2600k-34ghz/7492338862.html,$400, (excelsior / outer mission),ASUS i7-2600K 3.4GHz computer / Windows 10 Pro and MS Office 2013
2022-07-01 10:17,7492428611,https://sfbay.craigslist.org/sfc/sys/d/san-francisco-asus-u80v-14-laptop-with/7492428611.html,$250, (excelsior / outer mission),"ASUS U80V 14"" Laptop with Microsoft Office 2013"
2022-07-01 10:17,7499054948,https://sfbay.craigslist.org/sfc/sys/d/legacy-computers-pdas-and-phones/7499054948.html,$0, (sf),"Legacy computers, PDAs and phones"
2022-07-01 10:06,7494425081,https://sfbay.craigslist.org/sfc/sys/d/san-francisco-brand-new-intel-nuc-10th/7494425081.html,$449, (mission district),BRAND NEW: Intel NUC 10th Gen. i7 Processor
2022-07-01 10:00,7499439856,https://sfbay.craigslist.org/sfc/sys/d/san-francisco-22-inch-dell-monitor/7499439856.html,$50, (russian hill),22-inch Dell monitor
2022-07-01 10:00,7499443163,https://sfbay.craigslist.org/sfc/sys/d/san-francisco-logitech-mk735/7499443163.html,$30, (russian hill),Logitech MK735 Performance Wireless Keyboard & Mouse Combo
2022-07-01 09:41,7503534177,https://sfbay.craigslist.org/sfc/sys/d/san-francisco-dell-optiplex-7040-i5-8gb/7503534177.html,$120, (city of san francisco),"Dell Optiplex 7040/ i5/ 8GB RAM/500GB HD/ Win10 Pro + 24"" Dell Mon"
2022-07-01 09:38,7503532537,https://sfbay.craigslist.org/sfc/sys/d/san-francisco-ops-apis-intel-celeron/7503532537.html,$300, (city of san francisco),OPS-APIS-Intel Celeron-64GB M.2 SSD-4GB RAM-Brand New in Box
2022-07-01 09:37,7503532053,https://sfbay.craigslist.org/sfc/sys/d/san-francisco-macbook-pro-133-brand-new/7503532053.html,$450, (potrero hill),MacBook Pro 13.3”-Brand New Condition w/Box-have original receipt
2022-07-01 09:35,7498830367,https://sfbay.craigslist.org/sfc/sys/d/san-francisco-dell-latitude-e7470-fhd/7498830367.html,$235, (city of san francisco),Dell Latitude E7470 FHD (1920 x1080) i5/ 16GB RAM/500GB SSD/ Win10 Pro
2022-07-01 09:34,7498831714,https://sfbay.craigslist.org/sfc/sys/d/san-francisco-dell-optiplex-9030-all-in/7498831714.html,$195, (San Francisco),Dell Optiplex 9030 All-in-One  i7/8GB RAM/ 500GB HD/ Web Com/ W10 Pro
2022-07-01 09:34,7498835134,https://sfbay.craigslist.org/sfc/sys/d/san-francisco-dell-optiplex-all-in-one/7498835134.html,$115, (city of san francisco),"Dell OptiPlex 3030 20"" All-in-One i5/8GB Ram/500GB HD /WIFI, W10Pro"
2022-07-01 09:34,7500681922,https://sfbay.craigslist.org/sfc/sys/d/san-francisco-dell-optiplex-7010-i5/7500681922.html,$150, (city of san francisco),"Dell Optiplex 7010/ i5/ 16GB RAM/500GB SSD/ Win10 Pro + 24"" Dell Mon"
2022-07-01 09:17,7495391724,https://sfbay.craigslist.org/sfc/sys/d/san-francisco-2200retailasus-rog/7495391724.html,"$1,450", (noe valley),"($2200retail)Asus Rog Zephyrus 15,Ryzen9, RTX3070, 1TB SSD,Office2021"
2022-07-01 07:55,7494868437,https://sfbay.craigslist.org/sfc/sys/d/san-francisco-toshiba-satellite-pro-m15/7494868437.html,$50, (San Francisco/Daly City),Toshiba Satellite Pro M15-S405 Laptop *No Full Functional*
2022-07-01 07:23,7494511423,https://sfbay.craigslist.org/sfc/sys/d/san-francisco-asus-laptop-intel-celeron/7494511423.html,$220, (San Francisco/Daly City),"ASUS - 14.0"" Laptop - Intel Celeron N4020 - 4GB Memory - 64GB eMMC"
2022-07-01 06:39,7498891660,https://sfbay.craigslist.org/sfc/sys/d/san-francisco-hp-24-inch-full-hd-1080p/7498891660.html,$75, (San Francisco),HP 24-inch Full HD 1080p IPS LED Monitor
2022-07-01 06:12,7503437618,https://sfbay.craigslist.org/sfc/sys/d/san-francisco-apple-usb-keyboard-full/7503437618.html,$35, (SOMA / south beach),Apple USB keyboard (full size)
2022-07-01 04:43,7498321430,https://sfbay.craigslist.org/sfc/sys/d/san-francisco-acer-micro-atx-tower-pc/7498321430.html,$80, (glen park),Acer Micro ATX Tower PC -  Intel Core i3-7100 3.9 GHz/8GB RAM/400GB HD
2022-07-01 01:51,7492102725,https://sfbay.craigslist.org/sfc/sys/d/san-francisco-22-inch-computer-monitor/7492102725.html,$150, (western addition),22 inch Computer Monitor
2022-07-01 00:28,7503395966,https://sfbay.craigslist.org/sfc/sys/d/san-francisco-thinkpad-t420/7503395966.html,$100, (city of san francisco),Thinkpad T420
2022-06-30 23:23,7503391404,https://sfbay.craigslist.org/sfc/sys/d/aromas-dell-inspiron-600m-laptop/7503391404.html,$100, (Royal Oaks),Dell Inspiron 600m Laptop
2022-06-30 23:14,7499954345,https://sfbay.craigslist.org/sfc/sys/d/aromas-dell-vostro-1500-laptop/7499954345.html,$100, (Royal Oaks),Dell Vostro 1500 Laptop
2022-06-30 23:12,7495055618,https://sfbay.craigslist.org/sfc/sys/d/aromas-dell-inspiron-1000-laptop/7495055618.html,$100, (Royal Oaks),Dell Inspiron 1000 Laptop
2022-06-30 19:42,7495845631,https://sfbay.craigslist.org/sfc/sys/d/san-francisco-asus-rog-flow-r9-6900hs/7495845631.html,"$1,499", (San Francisco),Asus ROG Flow X13 2022 R9 6900hs 3050Ti 16gb 1TB Brand New 1 Year Warranty
2022-06-30 19:42,7495439342,https://sfbay.craigslist.org/sfc/sys/d/san-francisco-ipad-pro-129-4th-gen-a12z/7495439342.html,$799, (San Francisco),iPad Pro 12.9 4th Gen A12Z silver like new condition
2022-06-30 19:42,7500071965,https://sfbay.craigslist.org/sfc/sys/d/san-francisco-lenovo-legion-slim-r7/7500071965.html,"$1,299", (San Francisco),Lenovo Legion Slim 7 R7 5800h Rtx 3060 24gb 1tb Ssd Brand New
2022-06-30 19:42,7495842636,https://sfbay.craigslist.org/sfc/sys/d/san-francisco-macbook-air-gb-256gb-open/7495842636.html,$780, (San Francisco),Macbook Air m1 2020 8gb 256gb Open box condition
2022-06-30 19:05,7499715095,https://sfbay.craigslist.org/sfc/sys/d/san-francisco-monitor-desks-chair/7499715095.html,$0, (downtown / civic / van ness),monitor desks chair headset stand faux office plants office chair comp
2022-06-30 18:50,7493277576,https://sfbay.craigslist.org/sfc/sys/d/san-francisco-thermaltake-super-atx/7493277576.html,$80, (San Francisco),Thermaltake Super ATX Tower
2022-06-30 18:38,7503342666,https://sfbay.craigslist.org/sfc/sys/d/san-francisco-apple-a1083-cinema-hd/7503342666.html,$290, (bernal heights),"Apple A1083 Cinema HD Display 2560x1600 30"" DVI LCD Monitor"
2022-06-30 17:05,7502458773,https://sfbay.craigslist.org/sfc/sys/d/san-francisco-dell-optiplex-7010-pc/7502458773.html,$60, (glen park),Dell Optiplex 7010 PC -  Intel Core i5-3470 Quad Core/8GB RAM/74GB HD
2022-06-30 16:13,7503299922,https://sfbay.craigslist.org/sfc/sys/d/san-francisco-macbook-pro-15-inch-ghz/7503299922.html,$600, (marina / cow hollow),"MacBook Pro (15-inch, 2016) 2.6 GHz, i7, 16GB memory, 250GB storage"
2022-06-30 16:04,7495690312,https://sfbay.craigslist.org/sfc/sys/d/san-francisco-lenovo-yoga-c930-13ikb/7495690312.html,$200, (nob hill),LENOVO YOGA C930-13ikb Laptop
