Post Date,Post Id,Post Url,Price,Location,Post title
2022-07-02 22:34,7504179136,https://sfbay.craigslist.org/sfc/sys/d/san-francisco-apple-care-until-late/7504179136.html,$950, (russian hill),"APPLE CARE UNTIL LATE 2023 MacBook Pro 13"" late-2020 Retina i5 2.0GHz"
2022-07-02 22:13,7504177221,https://sfbay.craigslist.org/sfc/sys/d/san-francisco-imac-27-retina-5k-display/7504177221.html,$900, (inner sunset / UCSF),"iMac 27"" Retina 5K Display, 2019"
2022-07-02 20:24,7504163355,https://sfbay.craigslist.org/sfc/sys/d/oakland-microsoft-surface-pro-1979/7504163355.html,"$1,200", (Oakland),Microsoft Surface Pro 1979 Laptop 4 15” Touchscreen Intel Core i7
2022-07-02 20:08,7504160700,https://sfbay.craigslist.org/sfc/sys/d/san-francisco-apple-usb-power-adapter/7504160700.html,$60, (mission district),Apple Usb-C Power Adapter 96W
